Distance(Rp) Density(g/cm^3) 
1.0 2.7633227502197016e-14
1.02 2.2946564123719728e-14
1.04 1.919140364405765e-14
1.06 1.6159312489171172e-14
1.08 1.3693142093047525e-14
1.1 1.1673370664786828e-14
1.12 1.0008337343932577e-14
1.1400000000000001 8.62719200185105e-15
1.16 7.474758763423486e-15
1.18 6.5077610487354596e-15
1.2 5.6920241121638776e-15
1.22 5.000385481024718e-15
1.24 4.4111223128078614e-15
1.26 3.9067592113714494e-15
1.28 3.473158192549091e-15
1.3 3.09881941340609e-15
1.32 2.7743404365846495e-15
1.34 2.4919955395895958e-15
1.36 2.2454065056992386e-15
1.3800000000000001 2.029283557958818e-15
1.4000000000000001 1.8392203925617397e-15
1.42 1.6715311743745877e-15
1.44 1.5231202580444615e-15
1.46 1.391377565350117e-15
1.48 1.274094178350679e-15
1.5 1.1693939392164065e-15
1.52 1.0756777835912216e-15
1.54 9.915782495978878e-16
1.56 9.15922154021506e-16
1.58 8.476998513522817e-16
1.6 7.86039820379889e-16
1.62 7.301875794376041e-16
1.6400000000000001 6.794881321186816e-16
1.6600000000000001 6.333713031082261e-16
1.68 5.913394483853599e-16
1.7 5.5295712284439e-16
1.72 5.178423670190694e-16
1.74 4.856593374253169e-16
1.76 4.56112055428133e-16
1.78 4.289390900980438e-16
1.8 4.0390902328294097e-16
1.82 3.808165716737991e-16
1.84 3.594792622337775e-16
1.86 3.3973457497422896e-16
1.8800000000000001 3.2143748147529583e-16
1.9000000000000001 3.0445831938028633e-16
1.92 2.8868095283323744e-16
1.94 2.7400117687123294e-16
1.96 2.6032533044100183e-16
1.98 2.4756908823714275e-16
2.0 2.3565640616047392e-16
2.02 2.245185990351394e-16
2.04 2.140935324356662e-16
2.06 2.043249131701841e-16
2.08 1.9516166523115663e-16
2.1 1.8655737993439583e-16
2.12 1.784698305793425e-16
2.14 1.7086054332887756e-16
2.16 1.636944171646197e-16
2.18 1.5693938675831702e-16
2.2 1.505661229384325e-16
2.22 1.4454776614701903e-16
2.24 1.3885968889427276e-16
2.2600000000000002 1.334792837427935e-16
2.2800000000000002 1.283857738042618e-16
2.3000000000000003 1.2356004311865854e-16
2.32 1.1898448462013884e-16
2.34 1.146428636819441e-16
2.36 1.1052019548206334e-16
2.38 1.0660263464718866e-16
2.4 1.0287737581999007e-16
2.42 9.933256395745268e-17
2.44 9.595721330977009e-17
2.46 9.27411341528729e-17
2.48 8.967486645545708e-17
2.5 8.674961975579364e-17
2.52 8.395721860616983e-17
